country,no_players
Malaysia,17
Algeria,10
Kuwait,15
Poland,16
Hungary,15
Czechia,38
New Zealand,21
Philippines,13
Indonesia,14
Romania,20
Chile,19
France,84
Spain,81
Latvia,16
Argentina,62
Pakistan,11
Lithuania,13
United Kingdom,39
Uruguay,18
Bosnia and Herz.,7
Colombia,21
Mexico,27
Kazakhstan,14
Italy,56
Russia,42
Puerto Rico,12
United States of America,131
Bulgaria,18
Netherlands (Antilles),15
Belarus,18
Austria,32
Germany,75
Switzerland,21
Ukraine,19
Brazil,36
Greenland,13
Benin,6
Liberia,19
Slovenia,20
Estonia,13
Australia,66
Peru,22
Israel,14
Egypt,14
Portugal,20
Sweden,41
Moldova,14
Slovakia,17
Iran,10
Croatia,30
Madagascar,5
Belgium,20
India,27
Morocco,17
Turkey,12
Ireland,16
China,23
El Salvador,14
Mongolia,8
Denmark,20
Zimbabwe,12
Haiti,9
Taiwan,18
Serbia,19
Hong Kong,16
Syria,8
Canada,19
Norway,18
Ecuador,17
Guatemala,16
C̫te d'Ivoire,7
South Africa,24
Jamaica,10
Thailand,15
Paraguay,20
Guam,1
Venezuela,18
Barbados,6
Uzbekistan,11
Netherlands,28
Bahamas,11
Macedonia,6
Sri Lanka,5
South Korea,27
Cuba,9
Ghana,6
Bolivia,11
Dominican Rep.,18
Luxembourg,14
Japan,25
Montenegro,2
Tunisia,8
Finland,15
Georgia,12
Andorra,4
Costa Rica,8
Samoa,1
Oman,3
Vietnam,7
Cyprus,14
Solomon Is.,1
Armenia,6
Tajikistan,4
Marshall Islands,1
Nigeria,4
Qatar,7
Vanuatu,2
Cook Islands,1
Azerbaijan,1
Trinidad and Tobago,4
Togo,1
United Arab Emirates,2
